id,file,year,title,authors,category,priority,representation,bitrate,latency,evaluation,channel,code,main_evidence,limitations,tfm_relevance
17,papers/17_SPG_Codec.pdf,2026,SPG-Codec: Exploring the Role and Boundaries of Semantic Priors in Ultra-Low-Bitrate Neural Speech Coding,"Mingyu Zhao, Zijian Lin, Kun Wei y Zhiyong Wu",Códecs semánticos y ultra-bajo bitrate,Núcleo,Latentes de códec condicionados por priors semánticos HuBERT o Whisper.,"Análisis desde 1,5 kbps; frontera práctica alrededor de 6 kbps.",No destacada; priors congelados añaden cómputo.,"WER, alucinaciones, prosodia, timbre, ruido y generalización a hablantes no vistos.","Robustez a ruido acústico, no packet loss.",No indicado.,Los priors ayudan en ultra-bajo bitrate pero dejan de aportar al crecer la capacidad.,No existe un prior universal: Whisper y HuBERT favorecen atributos diferentes.,Justifica una selección de prior dependiente del bitrate y ablaciones semántico-acústicas.
18,papers/18_The_WER_Trap.pdf,2026,The WER Trap: Shattering the Illusion of Unified Tokens in Speech Language Models,"Xiangyu Zhang, Yuxin Li, Haoyang Zhang, Shiqi Han, Hexin Liu, Qiquan Zhang, Beena Ahmed y Julien Epps",Evaluación y límites de representación,Núcleo,Tokens semánticos ultracomprimidos y alineados dinámicamente.,Frame rate extremo; las cifras exactas deben tomarse de las tablas.,No es el foco.,WER frente a inteligibilidad acústica y síntesis con alineaciones oráculo.,Sin canal.,No indicado.,WER bajo no implica que la representación contenga trayectorias fonéticas suficientes para sintetizar voz inteligible.,"El resultado depende del tokenizer y generador estudiados, pero expone una limitación metodológica general.","Obliga a evaluar WER junto con calidad, speaker similarity, prosodia y escucha humana."
19,papers/19_EntangleCodec.pdf,2026,EntangleCodec: A Unified Discrete Audio Tokenizer via Semantic-Acoustic Entanglement,"Hui Li, Yangfan Gao, Junlin Shang, Changhao Jiang, Tao Gui, Qi Zhang y Xuanjing Huang",Códecs semánticos y ultra-bajo bitrate,Núcleo,Flujo único de tokens semántico-acústicos alineado con captions.,Compacto; la cifra operativa debe extraerse de la configuración experimental.,Decoder de difusión y modelos de lenguaje; no orientado explícitamente a streaming.,"Reconstrucción, MMAR, TTS, text-to-audio y escalado de audio language models.",Sin red.,Sí; código y pesos públicos.,"Hasta +7,4 en MMAR y buena reconstrucción con un flujo unificado.",Entrelazar atributos reduce control explícito y el decoder generativo complica latencia.,Contrapunto directo al desacoplamiento defendido por The WER Trap y candidato para comprensión+generación.
20,papers/20_P2PSynCodec.pdf,2026,An Ultra-Low-Bitrate Neural Speech Codec with Plain-to-Pseudo Synergistic Vector Quantization,"Xiao-Hang Jiang, Yang Ai, Fei Liu, Rui-Chen Zheng, Jian-Qing Gao, Zhen-Hua Ling y Ji Wu",Códecs semánticos y ultra-bajo bitrate,Núcleo,Un flujo VQ transmitido y pseudo-tokens VQ predichos en el receptor.,"0,5 kbps; comparación con referencias a 2,0 kbps.",No indicada; la predicción de pseudo-tokens añade cómputo.,Calidad de reconstrucción frente a códecs competitivos.,Sin pérdidas de paquetes.,No indicado.,"Calidad comparable a 2 kbps transmitiendo solo 0,5 kbps.",El receptor debe inferir detalle y puede degradarse fuera de distribución o con errores del flujo base.,Ejemplo directo de recuperación generativa para reducir payload y candidato ultra-low-bitrate.
21,papers/21_HoliTok.pdf,2026,HoliTok: A Continuous Holistic Tokenization with Robust Dual Capabilities of Speech Generation and Understanding,"Bohan Li, Shi Lian, Hankun Wang, Yiwei Guo, Yu Xi, Zhihan Li, Da Zheng, Colin Zhang y Kai Yu",Tokenización y modelos generativos,Núcleo,Latentes continuos holísticos de 25 Hz y 128 dimensiones.,No cuantizado como bitstream; 25 vectores/s antes de cuantización.,No definida como sistema streaming.,"Reconstrucción, síntesis controlable, ASR y modelado unificado.",Sin canal.,Sí; código público.,Única representación evaluada robusta en generación y comprensión unificadas sin ajustes extra.,Al ser continua no constituye todavía un payload digital de bitrate medible.,Referencia de representación unificada y advertencia sobre convertir frame rate en bitrate real.
22,papers/22_HASCom_Affective_Semantic_Communication.pdf,2026,HASCom: A Heterogeneous Affective-Semantic Communication Framework for Speech Transmission,"Zhenjia Yu, Taojie Zhu, Md Arman Hossain, Zineb Zbarna y Lei Wang","Identidad, prosodia y emoción",Núcleo,Fonemas discretos protegidos y embeddings emocionales continuos.,Debe extraerse por configuración; dos flujos con protección diferente.,"Menos de 0,1 ms para módulos JSCC; no es latencia completa del sistema de difusión.",Similitud semántica y MOS bajo AWGN y Rayleigh.,AWGN y Rayleigh; diseño híbrido LDPC/JSCC.,No indicado.,Mejora similitud y MOS a SNR bajo preservando contenido y afecto por vías distintas.,La cifra de JSCC no incluye todo el decoder; complejidad y sincronización de dos flujos.,Arquitectura de referencia para transmitir emoción como side-channel protegido de manera diferenciada.
23,papers/23_ASR_Robustness_Acoustic_Conditions_Benchmark.pdf,2025,Benchmarking Speech-to-Text Robustness in Noisy Emergency Medical Dialogues,"Denis Moser, Nikola Stanic y Murat Sariyar",Evaluación y límites de representación,Apoyo,Transcripciones de ASR; no es un códec.,No aplica.,"Compara eficiencia de modelos, sin latencia de comunicación.","99 diálogos, 1.980 audios, 6 sistemas, 4 ruidos, 5 SNR y 5 métricas.","Ruido acústico realista hasta -2 dB, no packet loss.",No indicado en el abstract.,"La clasificación de sistemas cambia según WER, términos clínicos o similitud semántica.","Corpus sintético, dominio médico y alemán; no mide calidad de voz reconstruida.",Plantilla metodológica para evaluar ASR bajo ruido y usar métricas semánticas complementarias.
24,papers/24_LargeSC.pdf,2025,Large Speech Model Enabled Semantic Communication,"Yun Tian, Zhijin Qin, Guocheng Lv, Ye Jin, Kaibin Huang y Zhu Han",Robustez de red y transmisión adaptativa,Núcleo,"Tokens Mimi con control adaptativo, UEP y recuperación generativa Moshi.","550 bps-2,06 kbps.",Aproximadamente 460 ms extremo a extremo.,Calidad bajo diferentes probabilidades de pérdida y restricciones de ancho de banda.,Packet loss dinámico y UEP dentro del bitstream.,No indicado.,Mantiene mejor calidad bajo pérdidas altas con bitrate adaptativo y recuperación generativa.,460 ms supera el objetivo conversacional de 300 ms y depende de modelos fundacionales pesados.,"Arquitectura objetivo para el experimento de packet loss, adaptación y recuperación."
25,papers/25_Glaris_Error_Resilient_Speech_SemCom.pdf,2025,Error-Resilient Semantic Communication for Speech Transmission over Packet-Loss Networks,"Zhuohang Han, Jincheng Dai, Shengshi Yao, Junyi Wang, Yanlong Li, Kai Niu, Wenjun Xu y Ping Zhang",Robustez de red y transmisión adaptativa,Núcleo,Latentes generativos paquetizados con packet-loss concealment.,Comparación eficiencia-redundancia; cifras por configuración en tablas.,"Diseñado para tiempo real, pero cifra no incluida en el abstract.","LibriSpeech; reconstrucción, robustez y eficiencia frente a FEC y códecs resilientes.",Redes con packet loss dinámico.,No indicado.,Logra robustez cercana a JSCC manteniendo compatibilidad digital y menor overhead que FEC.,La recuperación generativa puede inventar detalle y requiere evaluar deriva semántica.,"Referencia principal para diseñar packetización, concealment y comparación con FEC."
26,papers/26_Beyond_Transmitting_Bits.pdf,2022,"Beyond Transmitting Bits: Context, Semantics, and Task-Oriented Communications","Deniz Gündüz, Zhijin Qin, Inaki Estella Aguerri, Harpreet S. Dhillon, Zhaohui Yang, Aylin Yener, Kai Kit Wong y Chan-Byoung Chae",Fundamentos y contexto semántico,Núcleo,Marco teórico; no prescribe un único tipo de representación.,No aplica como implementación concreta.,No aplica.,"Revisión tutorial de fundamentos, algoritmos y aplicaciones.",Incluye modelos de comunicación semántica y task-oriented en sentido amplio.,No aplica.,"Formaliza que la métrica debe reflejar significado o utilidad de tarea, no solo error de bits.",Cobertura amplia y no específica de voz; no ofrece un protocolo experimental único.,"Base conceptual para definir semántica, utilidad y objetivos del sistema de voz."
27,papers/27_DeepSC_ST_Speech_Recognition_and_Synthesis.pdf,2022,Deep Learning Enabled Semantic Communications with Speech Recognition and Synthesis,"Zhenzi Weng, Zhijin Qin, Xiaoming Tao, Chengkang Pan, Guangyi Liu y Geoffrey Ye Li",Comunicación semántica de voz,Núcleo,Características semánticas para ASR más información del hablante para TTS.,Reducción significativa de datos; cifras deben tomarse del experimento original.,No reportada en el abstract.,"Reconocimiento, síntesis y robustez a varios SNR; demostración software.",Modelo robusto frente a condiciones dinámicas y bajo SNR.,Demo software descrita; disponibilidad actual debe verificarse.,Ventaja especialmente clara en bajo SNR al transmitir características orientadas a tarea.,"La reconstrucción mediada por texto puede perder prosodia, emoción y matices no lingüísticos.",Antecedente más directo de la cascada ASR + identidad + TTS propuesta como baseline.
28,papers/28_DCASE_2025_Low_Complexity_Acoustic_Scene_Classification.pdf,2025,Low-Complexity Acoustic Scene Classification with Device Information in the DCASE 2025 Challenge,"Florian Schmid, Paul Primus, Toni Heittola, Annamaria Mesaros, Irene Martín-Morató y Gerhard Widmer",Evaluación y límites de representación,Periférico,Features de clasificación de escenas; no reconstruye voz.,No aplica.,"Restricciones de baja complejidad, no latencia de voz extremo a extremo.","DCASE 2025, accuracy, device mismatch, tamaño y MACs/parámetros.","Variación de dispositivo y dominio acústico, no red.",Baseline del challenge disponible.,La adaptación al dispositivo y datos externos mejora claramente un modelo limitado en recursos.,Tarea periférica respecto a transmisión de voz; no mide bitrate ni calidad reconstruida.,"Referencia metodológica para complejidad, adaptación al hardware y reporting reproducible."
29,papers/29_Semantic_Compression_Ultra_Low_Bandwidth_Voice.pdf,2025,A Novel Semantic Compression Approach for Ultra-Low Bandwidth Voice Communication,"Ryan Collette, Ross Greenwood y Serena Nicoll",Comunicación semántica de voz,Núcleo,Subconjuntos de tokens semánticos y codificación auxiliar reutilizable de timbre.,2-4 veces menor que los baselines comparados.,La actualización de timbre puede introducir latencia o interrupciones.,"Transcripción, análisis de sentimiento, verificación de hablante y calidad perceptual.",No trata packet loss; advierte que errores en timbre persisten.,No indicado.,Mantiene tareas y calidad con 2-4× menos bitrate y reutilización de timbre.,No gestiona hablantes solapados; errores de timbre pueden ser permanentes y requiere actualizaciones periódicas.,"Demuestra el valor de separar información estática de hablante y payload dinámico, muy alineado con la hipótesis modular."
